,max,base,f1,f2,ppr,it,wormhole,suc0,unsuc0,suc1,unsuc1,suc2,unsuc2,pct,fail_Blitz,fail_LN,ratio,wormholeBTC
,6000,0,0.005,0.005,50,4,27301510,766426,212024,698450,280000,768576,209874,0.757228571,,,,
,6000,0,0.005,0.005,50,5,27268650,766292,212158,701145,277305,768869,209581,0.765070951,,,,
,6000,0,0.005,0.005,50,6,27273798,764224,214226,698637,279813,767858,210592,0.765604171,,,,
,6000,0,0.005,0.005,50,7,27255407,765550,212900,699148,279302,767745,210705,0.762257342,,,,
Average,6000,0,0.005,0.005,50,3.5,27281127.5,765569.125,212880.875,700315.25,278134.75,768259.875,210190.125,0.76540328,2690.75,67944.625,25.25118461,0.272811275
,6000,0,0.0125,0.0125,4,0,2180834,74148,4128,73817,4459,74220,4056,0.925768109,,,,
,6000,0,0.0125,0.0125,4,1,2177042,74217,4059,73904,4372,74256,4020,0.928408051,,,,
,6000,0,0.0125,0.0125,4,2,2182553,74200,4076,73861,4415,74258,4018,0.923216308,,,,
,6000,0,0.0125,0.0125,4,3,2170689,74275,4001,73968,4308,74305,3971,0.928737233,,,,
,6000,0,0.0125,0.0125,4,4,2179762,74155,4121,73840,4436,74204,4072,0.928990081,,,,
,6000,0,0.0125,0.0125,4,5,2171355,74254,4022,73935,4341,74280,3996,0.926514628,,,,
,6000,0,0.0125,0.0125,4,6,2175893,74202,4074,73851,4425,74230,4046,0.920677966,,,,
,6000,0,0.0125,0.0125,4,7,2179580,74176,4100,73859,4417,74247,4029,0.928231832,,,,
Average,6000,0,0.0125,0.0125,4,3.5,2177213.5,74203.375,4072.625,73879.375,4396.625,74250,4026,0.926318026,46.625,370.625,7.949061662,0.021772135
,6000,0,0.0125,0.0125,50,0,27251479,750010,228440,640765,337685,768462,209988,0.676488443,,,,
,6000,0,0.0125,0.0125,50,1,27220893,751452,226998,638263,340187,768497,209953,0.667274176,,,,
,6000,0,0.0125,0.0125,50,2,27262592,750351,228099,642607,335843,768426,210024,0.679183428,,,,
,6000,0,0.0125,0.0125,50,3,27239577,752045,226405,642501,335949,769225,209225,0.673926697,,,,
,6000,0,0.0125,0.0125,50,4,27255819,747902,230548,641329,337121,768650,209800,0.683873149,,,,
,6000,0,0.0125,0.0125,50,5,27224814,750824,227626,639408,339042,768958,209492,0.671379947,,,,
,6000,0,0.0125,0.0125,50,6,27227648,750773,227677,642505,335945,768073,210377,0.677721056,,,,
,6000,0,0.0125,0.0125,50,7,27210243,750327,228123,642053,336397,768249,210201,0.67813625,,,,
Average,6000,0,0.0125,0.0125,50,3.5,27236633.13,750460.5,227989.5,641178.875,337271.125,768567.5,209882.5,0.675997893,18107,127388.625,7.035324736,0.272366331
,9000,0,0.0025,0.0025,4,0,2385733,72133,6143,72027,6249,72146,6130,0.983037286,,,,
,9000,0,0.0025,0.0025,4,1,2404045,72084,6192,71989,6287,72080,6196,0.984889454,,,,
,9000,0,0.0025,0.0025,4,2,2390977,72062,6214,71964,6312,72063,6213,0.984474018,,,,
,9000,0,0.0025,0.0025,4,3,2381546,72027,6249,71910,6366,72030,6246,0.981621112,,,,
,9000,0,0.0025,0.0025,4,4,2395696,71958,6318,71883,6393,71974,6302,0.988268419,,,,
,9000,0,0.0025,0.0025,4,5,2397483,72100,6176,71980,6296,72111,6165,0.98094028,,,,
,9000,0,0.0025,0.0025,4,6,2387061,72143,6133,72035,6241,72147,6129,0.982695081,,,,
,9000,0,0.0025,0.0025,4,7,2398239,72058,6218,71961,6315,72060,6216,0.984639747,,,,
Average,9000,0,0.0025,0.0025,4,3.5,2392597.5,72070.625,6205.375,71968.625,6307.375,72076.375,6199.625,0.983820674,5.75,107.75,18.73913043,0.023925975
,9000,0,0.0025,0.0025,50,0,29974211,732924,245526,684258,294192,733844,244606,0.834577419,,,,
,9000,0,0.0025,0.0025,50,1,29976814,733391,245059,687036,291414,734760,243690,0.840930772,,,,
,9000,0,0.0025,0.0025,50,2,29946065,732854,245596,693217,285233,734193,244257,0.861036416,,,,
,9000,0,0.0025,0.0025,50,3,29958207,732087,246363,689839,288611,733640,244810,0.853616113,,,,
,9000,0,0.0025,0.0025,50,4,29966671,731753,246697,678803,299647,733644,244806,0.823292074,,,,
,9000,0,0.0025,0.0025,50,5,29975421,732050,246400,688717,289733,733344,245106,0.850438162,,,,
,9000,0,0.0025,0.0025,50,6,29929163,733175,245275,692830,285620,734645,243805,0.858745886,,,,
,9000,0,0.0025,0.0025,50,7,29966782,732712,245738,678923,299527,734693,243757,0.820420196,,,,
Average,9000,0,0.0025,0.0025,50,3.5,29961666.75,732618.25,245831.75,686702.875,291747.125,734095.375,244354.625,0.84288213,1477.125,47392.5,32.08428535,0.299616668
,9000,0,0.005,0.005,4,0,2383257,72091,6185,71915,6361,72130,6146,0.972331394,,,,
,9000,0,0.005,0.005,4,1,2401245,72057,6219,71828,6448,72089,6187,0.964485112,,,,
,9000,0,0.005,0.005,4,2,2388073,72022,6254,71831,6445,72035,6241,0.970364624,,,,
,9000,0,0.005,0.005,4,3,2379036,71980,6296,71816,6460,72024,6252,0.974613003,,,,
,9000,0,0.005,0.005,4,4,2393272,71928,6348,71700,6576,71936,6340,0.965328467,,,,
,9000,0,0.005,0.005,4,5,2394947,72063,6213,71824,6452,72104,6172,0.962957223,,,,
,9000,0,0.005,0.005,4,6,2384597,72114,6162,71901,6375,72136,6140,0.966588235,,,,
,9000,0,0.005,0.005,4,7,2396125,72008,6268,71836,6440,72042,6234,0.973291925,,,,
Average,9000,0,0.005,0.005,4,3.5,2390069,72032.875,6243.125,71831.375,6444.625,72062,6214,0.968744998,29.125,230.625,7.918454936,0.02390069
,9000,0,0.005,0.005,50,0,29974794,728593,249857,639513,338937,734069,244381,0.737178296,,,,
,9000,0,0.005,0.005,50,1,29976960,720303,258147,634568,343882,734524,243926,0.750684828,,,,
,9000,0,0.005,0.005,50,2,29946112,720104,258346,636278,342172,734369,244081,0.755017944,,,,
,9000,0,0.005,0.005,50,3,29958514,726052,252398,633787,344663,733474,244976,0.732303729,,,,
,9000,0,0.005,0.005,50,4,29967341,728607,249843,632509,345941,733474,244976,0.722212747,,,,
,9000,0,0.005,0.005,50,5,29977220,719395,259055,643978,334472,733480,244970,0.774519242,,,,
,9000,0,0.005,0.005,50,6,29928735,727898,250552,637075,341375,734361,244089,0.733949469,,,,
,9000,0,0.005,0.005,50,7,29967638,720108,258342,634722,343728,734212,244238,0.751588465,,,,
Average,9000,0,0.005,0.005,50,3.5,29962164.25,723882.5,254567.5,636553.75,341896.25,733995.375,244454.625,0.74468184,10112.875,97441.625,9.63540289,0.299621643
,9000,0,0.0125,0.0125,4,0,2382958,72060,6216,71519,6757,72156,6120,0.919934882,,,,
,9000,0,0.0125,0.0125,4,1,2400680,72004,6272,71388,6888,72080,6196,0.910569106,,,,
,9000,0,0.0125,0.0125,4,2,2387969,71976,6300,71386,6890,72079,6197,0.91436865,,,,
,9000,0,0.0125,0.0125,4,3,2378572,71991,6285,71305,6971,72073,6203,0.901592311,,,,
,9000,0,0.0125,0.0125,4,4,2392870,71874,6402,71240,7036,71930,6346,0.909891984,,,,
,9000,0,0.0125,0.0125,4,5,2395182,72011,6265,71434,6842,72109,6167,0.915667933,,,,
,9000,0,0.0125,0.0125,4,6,2384695,72041,6235,71450,6826,72126,6150,0.913419279,,,,
,9000,0,0.0125,0.0125,4,7,2395644,71984,6292,71458,6818,72079,6197,0.922851276,,,,
Average,9000,0,0.0125,0.0125,4,3.5,2389821.25,71992.625,6283.375,71397.5,6878.5,72079,6197,0.913536928,86.375,681.5,7.890014472,0.023898213
,9000,0,0.0125,0.0125,50,0,29926955,701191,277259,580010,398440,734053,244397,0.695861359,,,,
,9000,0,0.0125,0.0125,50,1,29928762,703229,275221,579326,399124,734673,243777,0.689562642,,,,
,9000,0,0.0125,0.0125,50,2,29901394,701908,276542,579339,399111,734196,244254,0.692894959,,,,
,9000,0,0.0125,0.0125,50,3,29914955,703416,275034,579753,398697,733962,244488,0.689832128,,,,
,9000,0,0.0125,0.0125,50,4,29923475,699403,279047,579682,398768,733329,245121,0.6997728,,,,
,9000,0,0.0125,0.0125,50,5,29928581,702331,276119,577976,400474,733487,244963,0.689480466,,,,
,9000,0,0.0125,0.0125,50,6,29881134,704192,274258,580406,398044,735212,243238,0.68901428,,,,
,9000,0,0.0125,0.0125,50,7,29922773,702755,275695,577832,400618,734234,244216,0.688174271,,,,
Average,9000,0,0.0125,0.0125,50,3.5,29916003.63,702303.125,276146.875,579290.5,399159.5,734143.25,244306.75,0.691824113,31840.125,154852.75,4.863446673,0.299160036
