nid,openchannels,capacity
709,27,15705494
710,0,0
711,26,8805006
712,3,5810000
713,2,960000
714,0,0
715,13,13405818
716,0,0
717,1,20000
718,13,11584080
719,0,0
720,2,2000000
721,0,0
722,2,69808
723,0,0
724,1,40000
725,17,28348890
726,0,0
727,6,6290000
728,0,0
729,0,0
730,2,502000
731,0,0
732,14,29541192
733,0,0
734,4,6072484
735,3,80000
736,2,11000000
737,8,25945
738,0,0
739,0,0
740,24,28803515
741,0,0
742,25,64586539
743,1,1000000
744,0,0
745,5,4570000
746,2,40000
747,0,0
748,10,51375871
749,10,8507335
750,2,200000
751,0,0
752,0,0
753,2,14820000
754,0,0
755,1,600000
756,0,0
757,0,0
758,1,317743
759,0,0
760,0,0
761,1,258418
762,1,25000
763,1,61337
764,7,7604741
765,0,0
766,0,0
767,0,0
768,0,0
769,1,86808
770,0,0
771,1,100000
772,0,0
773,0,0
774,0,0
775,2,11087000
776,0,0
777,0,0
778,4,790183
779,0,0
780,0,0
781,26,13310469
782,1,1000000
783,3,7017430
784,0,0
785,2,60000
786,2,40000
787,5,19950000
788,1,20000
789,3,995652
790,0,0
791,0,0
792,0,0
793,14,23851655
794,1,100000
795,0,0
796,10,8162712
797,1,185815
798,2,86563
799,1,100000
800,2,1000000
801,1,300000
802,4,356337
803,0,0
804,34,58477752
805,0,0
806,0,0
807,2,1000000
808,1,745758
809,0,0
810,1,100000
811,3,430000
812,0,0
813,0,0
814,1,100000
815,0,0
816,0,0
817,22,16058899
818,72,335366917
819,4,115000
820,10,24069965
821,0,0
822,4,17104338
823,0,0
824,0,0
825,1,210000
826,4,4151071
827,7,10574536
828,4,22500000
829,13,12402815
830,1,1500000
831,3,3000000
832,1,20000
833,0,0
834,0,0
835,1,60000
836,3,250000
837,2,202000
838,6,2673670
839,1,60000
840,1,170000
841,0,0
842,9,10723000
843,0,0
844,0,0
845,2,40000
846,0,0
847,0,0
848,3,211337
849,1,1700000
850,27,23250879
851,1,100000
852,1,250000
853,4,1690000
854,343,2010725431
855,1,1800000
856,0,0
857,3,1662237
858,0,0
859,3,9048935
860,2,100000
861,1,197020
862,0,0
863,0,0
864,10,43179717
865,2,3600000
866,4,1299597
867,16,10028716
868,128,450725657
869,12,11083177
870,2,200000
871,0,0
872,3,500000
873,1,90000
874,0,0
875,2,1025000
876,3,12600000
877,0,0
878,4,2000000
879,2,12000
880,2,5400000
881,1,500000
882,11,31082620
883,15,4397099
884,1,150000
885,0,0
886,0,0
887,4,1299337
888,32,43252615
889,1,60000
890,2,1500000
891,8,1542074
892,32,539420328
893,0,0
894,0,0
895,0,0
896,1,80000
897,0,0
898,0,0
899,3,71500
900,2,200000
901,1,1228900
902,0,0
903,2,420001
904,1,990000
905,2,201050
906,0,0
907,4,100000
908,1,100000
909,10,23485660
910,0,0
911,0,0
912,1,350000
913,0,0
914,0,0
915,285,230284507
916,2,470000
917,9,165000
918,0,0
919,303,1614340702
920,3,679578
921,2,2000000
922,2,1100000
923,3,630000
924,1,522000
925,1,5000
926,0,0
927,15,183788
928,9,13106684
929,0,0
930,2,30000
931,31,7165525
932,0,0
933,0,0
934,4,14986131
935,1,40000
936,0,0
937,0,0
938,0,0
939,0,0
940,3,240000
941,11,9485917
942,3,83234
943,0,0
944,0,0
945,22,17710983
946,3,500000
947,0,0
948,4,281337
949,0,0
950,0,0
951,0,0
952,1,250000
953,16,14302531
954,1,60000
955,2,429683
956,1,60000
957,13,24882120
958,0,0
959,1,1100
960,0,0
961,1,100000
962,4,5022974
963,3,1200000
964,0,0
965,0,0
966,0,0
967,2,170000
968,2,3050
969,8,32056000
970,33,60765724
971,7,1841228
972,3,6200000
973,19,2989096
974,2,400000
975,11,704833
976,12,36767726
977,0,0
978,0,0
979,0,0
980,25,106500
981,1,60000
982,0,0
983,0,0
984,1,61599
985,0,0
986,3,1210693
987,1,25500
988,0,0
989,0,0
990,1,4000
991,0,0
992,0,0
993,1,14361931
994,1,60000
995,0,0
996,2,1100000
997,17,11924575
998,8,53000
999,10,1718358
1000,0,0
1001,1,500000
1002,0,0
1003,1,100000
1004,1,96745
1005,0,0
1006,3,4600
1007,2,513755
1008,1,100000
1009,6,488705
1010,1,100000
1011,27,55013735
1012,6,2628686
1013,3,51500
1014,3,1322950
1015,2,45000
1016,0,0
1017,1,200000
1018,0,0
1019,0,0
1020,26,572917
1021,5,257222
1022,0,0
1023,3,708156
1024,9,10792210
1025,0,0
1026,1,5000000
1027,6,20377628
1028,0,0
1029,2,110089
1030,10,99542896
1031,4,3120889
1032,1,954765
1033,3,431337
1034,0,0
1035,10,5734567
1036,0,0
1037,3,7520000
1038,37,57303459
1039,25,70059590
1040,0,0
1041,0,0
1042,0,0
1043,299,1975021738
1044,0,0
1045,34,8719997
1046,5,2470313
1047,2,9553756
1048,1,40000
1049,1,100000
1050,142,473193925
1051,29,4819325
1052,0,0
1053,0,0
1054,0,0
1055,0,0
1056,5,3520002
1057,9,748000
1058,1,900000
1059,2,1040000
1060,1,100000
1061,1,60000
1062,2,213553
1063,0,0
1064,1,10000
1065,0,0
1066,4,4933004
1067,0,0
1068,7,1431337
1069,2,197064
1070,1,100000
1071,3,725000
1072,0,0
1073,36,31044789
1074,3,604743
1075,0,0
1076,2,224700
1077,119,1664100
1078,0,0
1079,2,1138189
1080,9,4828352
1081,2,999078
1082,0,0
1083,7,723225
1084,0,0
1085,1,100000
1086,4,4120597
1087,4,1042711
1088,0,0
1089,0,0
1090,16,9099422
1091,6,11202823
1092,1,60000
1093,11,13826000
1094,3,253000
1095,0,0
1096,1,100000
1097,1,400000
1098,6,19455042
1099,2,3000000
1100,1,40000
1101,6,10611000
1102,0,0
1103,1,25000
1104,0,0
1105,0,0
1106,1,130000
1107,0,0
1108,1,2000000
1109,0,0
1110,20,25800000
1111,1,100000
1112,0,0
1113,1,200000
1114,0,0
1115,0,0
1116,0,0
1117,49,91396848
1118,1,86941
1119,3,3997123
1120,2,414695
1121,1,100000
1122,0,0
1123,1,60000
1124,0,0
1125,1,4921902
1126,2,4000000
1127,3,473639
1128,1,1992363
1129,0,0
1130,0,0
1131,0,0
1132,5,420555
1133,1,400000
1134,4,19000
1135,9,24186465
1136,1,30000
1137,0,0
1138,0,0
1139,0,0
1140,7,275905
1141,4,300000
1142,0,0
1143,0,0
1144,3,10200005
1145,0,0
1146,1,12089191
1147,1,2000
1148,2,6821
1149,32,44021792
1150,0,0
1151,0,0
1152,1,100000
1153,0,0
1154,0,0
1155,0,0
1156,44,127919040
1157,0,0
1158,3,18542008
1159,0,0
1160,3,241050
1161,19,65616013
1162,0,0
1163,2,227156
1164,1,300000
1165,0,0
1166,14,23296549
1167,0,0
1168,1,99868
1169,1,100000
1170,0,0
1171,0,0
1172,0,0
1173,1,5000000
1174,3,124600
1175,1,25000
1176,0,0
1177,0,0
1178,2,571164
1179,0,0
1180,0,0
1181,18,65500000
1182,2,3120
1183,7,16630319
1184,5,12366575
1185,13,12600958
1186,1,20264
1187,1,100000
1188,3,102600
1189,1,20000
1190,1,200000
1191,0,0
1192,7,3637469
1193,114,274972874
1194,1,600000
1195,1,25000
1196,0,0
1197,0,0
1198,0,0
1199,1,100000
1200,1,100000
1201,3,6500000
1202,0,0
1203,2,60000
1204,0,0
1205,0,0
1206,1,1000000
1207,1,100000
1208,1,200000
1209,3,1039074
1210,11,3031337
1211,2,400000
1212,2,8999632
1213,1,54600
1214,0,0
1215,1,1000000
1216,0,0
1217,4,3170479
1218,3,190000
1219,7,16598227
1220,0,0
1221,1,1500
1222,0,0
